documento_id,nome_arquivo,folder_id,canonical_home,classificacao,acao,duplicata_de,sha256,tamanho_bytes,justificativa
DOC-CLX-001,schema_bundle.yaml,FS-DAT-009,60-dados/70-schemas/schema_bundle.yaml,CONFIRMADO,ingerido,,98247b94c4a9ab75a06f8a61d37527edc7aec7c2ff352592c27722bcf45ee86b,51070,Artefato de estrutura de dados: define campos e contratos consumidos por outros dominios.
DOC-CLX-002,claude/AUDIT-REPORT-20260913.md,FS-OPS-010,70-operacao-governanca/09-evidence/claude__AUDIT-REPORT-20260913.md,REFERÊNCIA,ingerido,,40de82cfd4e65a54e105d5695653e2202d4a26a23d061cbf0c7379057c33f3c7,7371,"Relato de estado com evidencia: valor probatorio, congelado no tempo da emissao."
DOC-CLX-003,claude/validated-bundle-001.json,FS-DAT-009,60-dados/70-schemas/claude__validated-bundle-001.json,CONFIRMADO,ingerido,,3c3f4928784a712370301bd2592347077a9e29cad9305c85e308089eeeccc3b4,5844,Artefato de estrutura de dados: define campos e contratos consumidos por outros dominios.
DOC-CLX-004,claude/evidence-map-001.csv,FS-DAT-009,60-dados/70-schemas/claude__evidence-map-001.csv,CONFIRMADO,ingerido,,1f75f761c7798830cb011b576e5e66d4b6d1d2ca86434b948761adde1a5e7389,6930,Artefato de estrutura de dados: define campos e contratos consumidos por outros dominios.
DOC-CLX-005,# EXECUTAR — Investment Memorandum & Ecosystem Report,FS-BUS-002,10-business/01-planos/EXECUTAR-—-Investment-Memorandum-Ecosystem-Report.md,REFERÊNCIA,ingerido,,33900ff587be89bdf4e294cd92e029032f85c8b45af79ce2685f4823a83af4bc,61276,Material estrategico de negocio: sustenta decisao empresarial e narrativa de investimento.
DOC-CLX-006,claude/VISAO_SISTEMICA_MESTRE_flowchart.txt,FS-OPS-011,70-operacao-governanca/10-sops/claude__VISAO_SISTEMICA_MESTRE_flowchart.txt,CONFIRMADO,ingerido,,a31365f59683a9bc42f31b9284b2d20ac08cc43f9b1de63920a0a5e910899bc8,14707,"Procedimento operacional repetivel: audiencia executora, saida = SOP versionado."
DOC-CLX-007,claude/ARQUITETURA_FLUXOS_CUSTOMER_JOURNEY_flowchart.txt,FS-IDX-005,01-master-index/04-reports/claude__ARQUITETURA_FLUXOS_CUSTOMER_JOURNEY_flowchart.txt,CONFIRMADO,ingerido,,228a28abfa126e06cc6508c1cdb3aca03330654281fbd33719671e04012aa63e,22040,"Indice/mapa de referencia: pertence ao controle central, nao ao dominio de conteudo."
DOC-CLX-008,TASK CENTER .html,FS-OPS-002,70-operacao-governanca/01-planos-acao/TASK-CENTER-.html,CONFIRMADO,ingerido,,ca6e90ff0f2ee3ec7b2628117b82390761e5977af13ad3be2bf6a27c96908b66,17367,"Plano/sequenciamento de execucao: governa o que entra em ciclo, nao e evidencia."
DOC-CLX-009,PRISMA-FORM-RISCO-COGNITIVO-001.html,FS-AST-004,90-assets-compartilhados/03-templates/PRISMA-FORM-RISCO-COGNITIVO-001.html,REFERÊNCIA,ingerido,,9358701620caf8b3e2c4a4636507dacf0994d2f92e5cc5f883090b5d6a8b33ca,20793,Peca reutilizavel entre dominios: vive em assets e e referenciada por link.
DOC-CLX-010,prompts_prisma_obsidian_editavel.html,FS-AST-004,90-assets-compartilhados/03-templates/prompts_prisma_obsidian_editavel.html,REFERÊNCIA,ingerido,,bb578b919f79c52efc7410b21a481e16daee1151aa81d25bcf428479c5345a20,9820,Peca reutilizavel entre dominios: vive em assets e e referenciada por link.
DOC-CLX-011,PRISMA-FORM-RISCO-COGNITIVO-001.html,FS-AST-004,90-assets-compartilhados/03-templates/PRISMA-FORM-RISCO-COGNITIVO-001.html,REFERÊNCIA,duplicata,DOC-CLX-009,9358701620caf8b3e2c4a4636507dacf0994d2f92e5cc5f883090b5d6a8b33ca,20793,Peca reutilizavel entre dominios: vive em assets e e referenciada por link.
DOC-CLX-012,prompts_prisma_obsidian_editavel.html,FS-AST-004,90-assets-compartilhados/03-templates/prompts_prisma_obsidian_editavel.html,REFERÊNCIA,duplicata,DOC-CLX-010,bb578b919f79c52efc7410b21a481e16daee1151aa81d25bcf428479c5345a20,9820,Peca reutilizavel entre dominios: vive em assets e e referenciada por link.
DOC-CLX-013,ESTRATEGIA COMERCIAL .txt,FS-COM-001,40-comercial-servicos/ESTRATEGIA-COMERCIAL-.txt,CONFIRMADO,ingerido,,7e4ca61cf38a08a8da33fdfa7d4804678e42ef8980498b87d80c405da3f13658,2722,"Material comercial: audiencia cliente/prospect, ciclo de venda."
DOC-CLX-014,CONTIUESTRATEGIA COMERCIAL .txt.txt,FS-COM-001,40-comercial-servicos/CONTIUESTRATEGIA-COMERCIAL-.txt.txt,CONFIRMADO,ingerido,,b4ac3d37a71160a32a294b3559fc7401cafc49df1d793002efdd585d6763f051,1429,"Material comercial: audiencia cliente/prospect, ciclo de venda."
DOC-CLX-015,Maestro Vídeo — Prompts de Análise e Handoff.docx,FS-TEC-021,80-tecnologia-plataformas/05-gpt/01-prompts/Maestro-Vídeo-—-Prompts-de-Análise-e-Handoff.docx.md,CONFIRMADO,ingerido,,2aec38ff97875bd4f8334990cd41299088dc12e198413f190f0fadc1eaaa4f5a,6953,"Insumo de orquestracao de IA: consumido por agente, nao por leitor humano final."
DOC-CLX-016,PD-CLB-20260906-F01-DOC-V01__process-doc-padrao-multiplataforma.docx,FS-OPS-011,70-operacao-governanca/10-sops/PD-CLB-20260906-F01-DOC-V01__process-doc-padrao-multiplataforma.docx.md,CONFIRMADO,ingerido,,c3079b9a4df3df93ce6ac0409260a9f1c287d2403996848bfc3f6b354602032c,28607,"Procedimento operacional repetivel: audiencia executora, saida = SOP versionado."
DOC-CLX-017,status-report-a4.html,FS-OPS-010,70-operacao-governanca/09-evidence/status-report-a4.html,REFERÊNCIA,ingerido,,2022e3aa58fa5c3dc30b896d30e103b12bccc2e03b9d149b7214483ba2b9fce8,12276,"Relato de estado com evidencia: valor probatorio, congelado no tempo da emissao."
DOC-CLX-018,RC-KNW-001__knowledge-pack-tp001-fatores-risco-cognitivo__v01.docx,FS-DROP-009,00-dropzone/08-to-classify/RC-KNW-001__knowledge-pack-tp001-fatores-risco-cognitivo__v01.docx.ponteiro.md,CONFIRMADO,ponteiro,,c51ab73af8e96346c7a8283559ab00f2257f02100a2dcc44e1885aad9fab7673,335803,"Ativo editorial/canal: audiencia publica, ciclo de campanha."
DOC-CLX-019,dashboard_sintese_tdah_694_V3_FINAL_LIGHT.html,FS-DROP-009,00-dropzone/08-to-classify/dashboard_sintese_tdah_694_V3_FINAL_LIGHT.ponteiro.md,REFERÊNCIA,ponteiro,,c03c2fb217ddd13714a59dfa828ac26018429e68376c1d4d9b0f438c2f2005ee,545278,"Relato de estado com evidencia: valor probatorio, congelado no tempo da emissao."
DOC-CLX-020,EXECUTAR_WORKBOOK_REPORT_READER.html,FS-DROP-009,00-dropzone/08-to-classify/EXECUTAR_WORKBOOK_REPORT_READER.ponteiro.md,REFERÊNCIA,ponteiro,,c49f7bcea3eac6c322b584d1bbae0ab018ae50404f0dbc2b418b25033d0dd253,347005,Peca reutilizavel entre dominios: vive em assets e e referenciada por link.
DOC-CLX-021,RC-DOMAIN-EXPERT-OS_MANUAL-DE-USO_v1.0.html,FS-AST-004,90-assets-compartilhados/03-templates/RC-DOMAIN-EXPERT-OS_MANUAL-DE-USO_v1.0.html,REFERÊNCIA,ingerido,,bd2eda1a8aee005fbed5e09cd720a18210ed23d01e7b7d4ec073eae14994f585,32953,Peca reutilizavel entre dominios: vive em assets e e referenciada por link.
DOC-CLX-022,PEM-AREA 17.md,FS-OPS-010,70-operacao-governanca/09-evidence/PEM-AREA-17.md,REFERÊNCIA,ingerido,,da95ac67d5c6379f34f8ed4a677df0a3a1817fed68732952727b4e1b7c07d950,13645,"Relato de estado com evidencia: valor probatorio, congelado no tempo da emissao."
DOC-CLX-023,ADRS..md,FS-OPS-007,70-operacao-governanca/06-decisoes/ADRS..md,DECISÃO,ingerido,,5d9194377426ddb40a886aed80e89a0d296e12eb79a0438094cafb784a93a4d7,8915,Registro de decisao com alternativas e justificativa: autoridade sobre execucao futura.
DOC-CLX-024,Custo cogn schema - Dados + Produto · SCHEMA-RC-SOLUTION-004.md,FS-DAT-009,60-dados/70-schemas/Custo-cogn-schema---Dados-+-Produto-·-SCHEMA-RC-SOLUTION-004.md,CONFIRMADO,ingerido,,e18284e2bc20417011a7ab8549b86d3e9de761f95e1aec303e154312767257a0,22617,Artefato de estrutura de dados: define campos e contratos consumidos por outros dominios.
DOC-CLX-025,RC-KNW-SYSTEM-001__relatorio-integral-estruturado__v02.md,FS-DROP-009,00-dropzone/08-to-classify/RC-KNW-SYSTEM-001__relatorio-integral-estruturado__v02.ponteiro.md,REFERÊNCIA,ponteiro,,e750830998d57737b562f81e1f2bdad661dc4f789617ac5c4a19b13adeb51ae0,510537,"Relato de estado com evidencia: valor probatorio, congelado no tempo da emissao."
DOC-CLX-026,PEM-AREA 16.md,FS-OPS-010,70-operacao-governanca/09-evidence/PEM-AREA-17.md,REFERÊNCIA,duplicata,DOC-CLX-022,da95ac67d5c6379f34f8ed4a677df0a3a1817fed68732952727b4e1b7c07d950,13645,"Relato de estado com evidencia: valor probatorio, congelado no tempo da emissao."
DOC-CLX-027,RC-KNW-001__knowledge-pack-tp001-fatores-risco-cognitivo__v01.docx,FS-DROP-009,00-dropzone/08-to-classify/RC-KNW-001__knowledge-pack-tp001-fatores-risco-cognitivo__v01.docx.ponteiro.md,CONFIRMADO,duplicata,DOC-CLX-018,c51ab73af8e96346c7a8283559ab00f2257f02100a2dcc44e1885aad9fab7673,335803,"Ativo editorial/canal: audiencia publica, ciclo de campanha."
DOC-CLX-028,Sas-07.md,FS-BUS-002,10-business/01-planos/Sas-07.md,REFERÊNCIA,ingerido,,9c058435c9230eff25c5a3f6486e7b2b97b144a1a38ac8d8044135de31cd3dc3,80253,Material estrategico de negocio: sustenta decisao empresarial e narrativa de investimento.
DOC-CLX-029,Sas-06.md,FS-BUS-002,10-business/01-planos/Sas-06.md,REFERÊNCIA,ingerido,,dd4988402f2da6f9611bb1838c02a829165173e8d184ea4483585683dae7290d,64872,Material estrategico de negocio: sustenta decisao empresarial e narrativa de investimento.
DOC-CLX-030,gtmlaunchreport.html,FS-BUS-002,10-business/01-planos/gtmlaunchreport.html,REFERÊNCIA,ingerido,,da9e2bd6328d9eef7db23bfa27086380148780e179644302bcd2ae908a1c9fa7,30330,Material estrategico de negocio: sustenta decisao empresarial e narrativa de investimento.
DOC-CLX-031,EXECUTAR_PRISMA_MAPA_OS_AGORA_PROXIMO_DEPOIS.html,FS-OPS-002,70-operacao-governanca/01-planos-acao/EXECUTAR_PRISMA_MAPA_OS_AGORA_PROXIMO_DEPOIS.html,CONFIRMADO,ingerido,,b69c2796e5efb676460544eb42e5ca02a1613ee7a7ff3a47fc016a4cc3b6d3a0,25659,"Plano/sequenciamento de execucao: governa o que entra em ciclo, nao e evidencia."
DOC-CLX-032,status-report-prisma-a4-v4-template.html,FS-OPS-010,70-operacao-governanca/09-evidence/status-report-prisma-a4-v4-template.html,REFERÊNCIA,ingerido,,fc55e28e61a98b913ac571f521b383c8f967b5c2a99bdc490708d82a098ab43e,20698,"Relato de estado com evidencia: valor probatorio, congelado no tempo da emissao."
DOC-CLX-033,README-STATUS REPORT.html,FS-OPS-010,70-operacao-governanca/09-evidence/README-STATUS-REPORT.html,REFERÊNCIA,ingerido,,c39c8f1c920b1675b402e4eaccd80923ea53038e5fe7646bd766cebeac0e435a,9120,"Relato de estado com evidencia: valor probatorio, congelado no tempo da emissao."
DOC-CLX-034,Placeholder.html,FS-AST-004,90-assets-compartilhados/03-templates/Placeholder.html,REFERÊNCIA,ingerido,,46cf42d4da98bf2437da8884784cf389dc72fe4c627babf25e71435f6e6a5b91,13097,Peca reutilizavel entre dominios: vive em assets e e referenciada por link.
DOC-CLX-035,status-report-prisma-a4-v4.html,FS-OPS-010,70-operacao-governanca/09-evidence/status-report-prisma-a4-v4.html,REFERÊNCIA,ingerido,,d58c4378e54ea0c587fed9df404337234a8cc38423499c927e5b47414ee95151,21092,"Relato de estado com evidencia: valor probatorio, congelado no tempo da emissao."
DOC-CLX-036,✅ PMI X TDHA X Evidencias - 21.08.docx,FS-OPS-010,70-operacao-governanca/09-evidence/PMI-X-TDHA-X-Evidencias---21.08.docx.md,REFERÊNCIA,ingerido,,c22884bd8f77ddf7215df789db38fb6e1996eeece8a2ee2644ac51020a1e78c8,24854,"Relato de estado com evidencia: valor probatorio, congelado no tempo da emissao."
DOC-CLX-037,MASTER_INDEX.md,FS-IDX-005,01-master-index/04-reports/MASTER_INDEX.md,CONFIRMADO,ingerido,,df03ca32b9ac1a9183be24309bbfbe3c9e27b2ad0bcb64826714c7d1c365891b,6700,"Indice/mapa de referencia: pertence ao controle central, nao ao dominio de conteudo."
DOC-CLX-038,DENSE_SCANNER_PRD_FRD_SPECS.md,FS-EXE-001,20-produtos/10-executar-app/DENSE_SCANNER_PRD_FRD_SPECS.md,CONFIRMADO,ingerido,,8dbc6896d2f2bfba3816878b5cb88a08676c00e02b26dfa4a671520c7c70037d,20892,"Especificacao de produto: audiencia de engenharia/produto, vincula requisito a release."
DOC-CLX-039,PRD-001_EXECUTAR_GESTAO_MULTICANAL_STANDALONE.md,FS-EXE-001,20-produtos/10-executar-app/PRD-001_EXECUTAR_GESTAO_MULTICANAL_STANDALONE.md,CONFIRMADO,ingerido,,f7a0c79177dc89c5ee3e74df8250dbbfcc0946462a5cbb6ded39a2311a7a95ae,9032,"Especificacao de produto: audiencia de engenharia/produto, vincula requisito a release."
DOC-CLX-040,runbook-geracao-escala.md,FS-OPS-011,70-operacao-governanca/10-sops/runbook-geracao-escala.md,CONFIRMADO,ingerido,,c181359d25f25c2e79b5b8d157c57e171366ac2003758ff87c9862ce674cec97,5073,"Procedimento operacional repetivel: audiencia executora, saida = SOP versionado."
DOC-CLX-041,schema-runbook.md,FS-DAT-009,60-dados/70-schemas/schema-runbook.md,CONFIRMADO,ingerido,,4f89b563139ef950be318bc86192d3af0e24edbe592becaa07565529265c0de2,1497,Artefato de estrutura de dados: define campos e contratos consumidos por outros dominios.
DOC-CLX-042,RUNBOOK EDITORIAL OPERACIONAL SOLO — V1.0.txt,FS-OPS-011,70-operacao-governanca/10-sops/RUNBOOK-EDITORIAL-OPERACIONAL-SOLO-—-V1.0.txt,CONFIRMADO,ingerido,,b1b4564a7d48ed6bb648e98e48847892d7a5388aac911e894b4a5e335caf10c3,23874,"Procedimento operacional repetivel: audiencia executora, saida = SOP versionado."
DOC-CLX-043,RUNBOOK-KP-001-processo-producao-editorial 2.md,FS-OPS-011,70-operacao-governanca/10-sops/RUNBOOK-KP-001-processo-producao-editorial-2.md,CONFIRMADO,ingerido,,ca47fcc035f53474c2937051c07fe2a29c121e16d48bee05afc053c14ab9cc4d,31809,"Procedimento operacional repetivel: audiencia executora, saida = SOP versionado."
DOC-CLX-044,#Id-Runb-001-Packcarrosel.docx,FS-OPS-011,70-operacao-governanca/10-sops/Id-Runb-001-Packcarrosel.docx.md,CONFIRMADO,ingerido,,152795f3a10db52306aea654529c556a12c2856f4511f246824befd33ff181ba,10726,"Procedimento operacional repetivel: audiencia executora, saida = SOP versionado."
